Address  Disassembly                                                                                                                                                                                              String                                                                                                                                                                                                                                                                                                                                                                                                                                                                
747651FD fadd st(0),qword ptr ss:[esp+esi*2+747C9E88]                                                                                                                                                             "SystemFunction025"
74765205 fadd st(0),qword ptr ss:[esp+esi*2+747C9E9C]                                                                                                                                                             "SystemFunction026"
7476520D fadd st(0),qword ptr ss:[esp+esi*2+747C9EB0]                                                                                                                                                             "SystemFunction027"
74765215 fadd st(0),qword ptr ss:[esp+esi*2+747C9EC4]                                                                                                                                                             "SystemFunction030"
74765245 fadd st(0),qword ptr ss:[esp+esi*2+747C9F3C]                                                                                                                                                             "SystemFunction041"
7476524D fadd st(0),qword ptr ss:[esp+esi*2+747C9F50]                                                                                                                                                             "TraceEvent"
74765375 rol byte ptr ss:[esp+esi*2+747CA404],cl                                                                                                                                                                  "CM_Get_DevNode_Registry_PropertyA"
7476537D rol byte ptr ss:[esp+esi*2+747CA260],cl                                                                                                                                                                  "CM_Get_DevNode_Registry_PropertyW"
74765385 rol byte ptr ss:[esp+esi*2+747CA284],cl                                                                                                                                                                  "CM_Get_DevNode_Status"
7476538D rol byte ptr ss:[esp+esi*2+747CA428],1                                                                                                                                                                   "CM_Get_Device_IDA"
74765395 rol byte ptr ss:[esp+esi*2+747CA29C],1                                                                                                                                                                   "CM_Get_Device_IDW"
7476539D rol byte ptr ss:[esp+esi*2+747CA43C],1                                                                                                                                                                   "CM_Get_Device_ID_ListA"
747653A5 rol byte ptr ss:[esp+esi*2+747CA2B0],1                                                                                                                                                                   "CM_Get_Device_ID_ListW"
747653AD rol byte ptr ss:[esp+esi*2+747CA454],1                                                                                                                                                                   "CM_Get_Device_ID_List_SizeA"
747653D5 rol byte ptr ss:[esp+esi*2+747CA3B8],1                                                                                                                                                                   "CM_Get_Device_Interface_List_SizeW"
747653DD rol byte ptr ss:[esp+esi*2+747CA304],1                                                                                                                                                                   "CM_Get_Device_Interface_PropertyW"
747653E5 rol byte ptr ss:[esp+esi*2+747CA328],cl                                                                                                                                                                  "CM_Get_Parent"
74765405 fild st(0),word ptr ss:[esp+esi*2+747CA4C8]                                                                                                                                                              "CM_Open_Class_KeyA"
7476540D rol byte ptr ss:[esp+esi*2+747CA34C],cl                                                                                                                                                                  "CM_Open_Class_KeyW"
74765415 rol byte ptr ss:[esp+esi*2+747CA3F0],cl                                                                                                                                                                  "CM_Open_DevNode_Key"
7476541D rol byte ptr ss:[esp+esi*2+747CA4DC],cl                                                                                                                                                                  "CM_Open_Device_Interface_KeyA"
74765435 rol byte ptr ss:[esp+esi*2+747CA39C],1                                                                                                                                                                   "CM_Unregister_Notification"
74765445 rol byte ptr ss:[esp+esi*2+747CA260],cl                                                                                                                                                                  "CM_Get_DevNode_Registry_PropertyW"
7476544D rol byte ptr ss:[esp+esi*2+747CA284],cl                                                                                                                                                                  "CM_Get_DevNode_Status"
74765455 rol byte ptr ss:[esp+esi*2+747CA29C],1                                                                                                                                                                   "CM_Get_Device_IDW"
7476545D rol byte ptr ss:[esp+esi*2+747CA2B0],1                                                                                                                                                                   "CM_Get_Device_ID_ListW"
74765465 rol byte ptr ss:[esp+esi*2+747CA2C8],1                                                                                                                                                                   "CM_Get_Device_ID_List_SizeW"
7476547D rol byte ptr ss:[esp+esi*2+747CA328],cl                                                                                                                                                                  "CM_Get_Parent"
74765495 rol byte ptr ss:[esp+esi*2+747CA360],cl                                                                                                                                                                  "CM_Open_Device_Interface_KeyW"
747654A5 rol byte ptr ss:[esp+esi*2+747CA39C],1                                                                                                                                                                   "CM_Unregister_Notification"
747654B5 rol byte ptr ss:[esp+esi*2+747CA260],cl                                                                                                                                                                  "CM_Get_DevNode_Registry_PropertyW"
747654BD rol byte ptr ss:[esp+esi*2+747CA284],cl                                                                                                                                                                  "CM_Get_DevNode_Status"
747654C5 rol byte ptr ss:[esp+esi*2+747CA29C],1                                                                                                                                                                   "CM_Get_Device_IDW"
747654CD rol byte ptr ss:[esp+esi*2+747CA2B0],1                                                                                                                                                                   "CM_Get_Device_ID_ListW"
747654D5 rol byte ptr ss:[esp+esi*2+747CA2C8],1                                                                                                                                                                   "CM_Get_Device_ID_List_SizeW"
747654ED rol byte ptr ss:[esp+esi*2+747CA304],1                                                                                                                                                                   "CM_Get_Device_Interface_PropertyW"
747654F5 rol byte ptr ss:[esp+esi*2+747CA328],cl                                                                                                                                                                  "CM_Get_Parent"
7476550D fild st(0),word ptr ss:[esp+esi*2+747CA34C]                                                                                                                                                              "CM_Open_Class_KeyW"
