Address  Disassembly                                                                                                                                                                                              String                                                                                                                                                                                                                                                                                                                                                                                                                                                                
76D35EFE push kernel32.76D4B94C                                                                                                                                                                                   "AslFileMappingEnsure failed [%x]"
76D35F08 push kernel32.76D4C1C0                                                                                                                                                                                   "AslpFileGetPeExportNameExeWrapper"
76D35F99 push kernel32.76D4BFFC                                                                                                                                                                                   "AslStringXmlSanitize failed [%x]"
76D36023 push kernel32.76D4B94C                                                                                                                                                                                   "AslFileMappingEnsure failed [%x]"
76D3602D push kernel32.76D4C1E4                                                                                                                                                                                   "AslpFileGetHeaderAttributesPE"
76D361C4 push kernel32.76D4B94C                                                                                                                                                                                   "AslFileMappingEnsure failed [%x]"
76D361CE push kernel32.76D4C204                                                                                                                                                                                   "AslpFileGetHeaderAttributesNE"
76D3624F push kernel32.76D4BFFC                                                                                                                                                                                   "AslStringXmlSanitize failed [%x]"
76D362C3 push kernel32.76D4BFFC                                                                                                                                                                                   "AslStringXmlSanitize failed [%x]"
76D36346 push kernel32.76D4B990                                                                                                                                                                                   "AslpFileGetImageNtHeader failed [%x]"
76D36350 push kernel32.76D4C224                                                                                                                                                                                   "AslpFileGetNtHeaderAttributes"
76D36404 push kernel32.76D4B9D8                                                                                                                                                                                   "Exception encountered [%x]"
76D3640E push kernel32.76D4C224                                                                                                                                                                                   "AslpFileGetNtHeaderAttributes"
76D36448 push kernel32.76D4C244                                                                                                                                                                                   "File mapping not a PE [%x]"
76D36452 push kernel32.76D4C260                                                                                                                                                                                   "AslpFileGetImageNtHeader"
76D3649D push kernel32.76D4B9F4                                                                                                                                                                                   "File mapping invalid [%x]"
76D364CE push kernel32.76D4B9D8                                                                                                                                                                                   "Exception encountered [%x]"
76D364D8 push kernel32.76D4C260                                                                                                                                                                                   "AslpFileGetImageNtHeader"
76D36539 push kernel32.76D4B990                                                                                                                                                                                   "AslpFileGetImageNtHeader failed [%x]"
76D36543 push kernel32.76D4C27C                                                                                                                                                                                   "AslpFileGetExeWrapper"
76D3659C push kernel32.76D4C294                                                                                                                                                                                   "AslpFileHasActiveMarkWrapper failed (FileSize: %I64u) [%x]"
76D365A6 push kernel32.76D4C27C                                                                                                                                                                                   "AslpFileGetExeWrapper"
76D365BB push kernel32.76D4C2D0                                                                                                                                                                                   "AslpFileHasActiveMarkWrapper failed [%x]"
76D36631 push kernel32.76D4B9D8                                                                                                                                                                                   "Exception encountered [%x]"
76D3663B push kernel32.76D4C27C                                                                                                                                                                                   "AslpFileGetExeWrapper"
76D36686 push kernel32.76D4C2FC                                                                                                                                                                                   ".securom"
76D36792 mov edx,kernel32.76D4C808                                                                                                                                                                                "TMSAMVOF"
76D36813 push kernel32.76D4B9D8                                                                                                                                                                                   "Exception encountered [%x]"
76D3681D push kernel32.76D4C308                                                                                                                                                                                   "AslpFileHasActiveMarkWrapper"
76D3686A push kernel32.76D4C328                                                                                                                                                                                   ".ps4"
76D368EF push kernel32.76D4C330                                                                                                                                                                                   "AslpFileQueryExportName failed [%x]"
76D368F9 push kernel32.76D4C354                                                                                                                                                                                   "AslpFileGetExportName"
76D3691E push kernel32.76D4C36C                                                                                                                                                                                   "AslStringAnsiToUnicode failed [%x]"
76D3696D push kernel32.76D4B990                                                                                                                                                                                   "AslpFileGetImageNtHeader failed [%x]"
76D36A06 push kernel32.76D4C488                                                                                                                                                                                   "RtlStringCchCopyA failed [%x]"
76D36A27 push kernel32.76D4C454                                                                                                                                                                                   "Export directory invalid or invalid image format"
76D36A3B push kernel32.76D4C3F8                                                                                                                                                                                   "Export directory pointer invalid (points to location outside file), invalid image format"
76D36A53 push kernel32.76D4C3A8                                                                                                                                                                                   "RtlImageDirectoryEntryToData returned ExportDirectory that was too small"
76D36A5D push kernel32.76D4C390                                                                                                                                                                                   "AslpFileQueryExportName"
76D36A96 push kernel32.76D4B9D8                                                                                                                                                                                   "Exception encountered [%x]"
76D36AA0 push kernel32.76D4C390                                                                                                                                                                                   "AslpFileQueryExportName"
76D36B13 push kernel32.76D4C4A8                                                                                                                                                                                   "AslpFileQuery16BitDescription failed [%x]"
76D36B33 push kernel32.76D4C36C                                                                                                                                                                                   "AslStringAnsiToUnicode failed [%x]"
76D36B3D push kernel32.76D4C4D4                                                                                                                                                                                   "AslpFileGet16BitDescription"
76D36BB3 push kernel32.76D4C4F0                                                                                                                                                                                   "AslpFileQuery16BitModuleName failed [%x]"
76D36BD3 push kernel32.76D4C36C                                                                                                                                                                                   "AslStringAnsiToUnicode failed [%x]"
76D36BDD push kernel32.76D4C51C                                                                                                                                                                                   "AslpFileGet16BitModuleName"
76D36C88 push kernel32.76D4C538                                                                                                                                                                                   "File mapping invalid"
76D36CAA push kernel32.76D4C538                                                                                                                                                                                   "File mapping invalid"
76D36CB6 push kernel32.76D4C538                                                                                                                                                                                   "File mapping invalid"
76D36CC0 push kernel32.76D4C550                                                                                                                                                                                   "AslpFileQuery16BitDescription"
76D36D01 push kernel32.76D4B9D8                                                                                                                                                                                   "Exception encountered [%x]"
76D36D0B push kernel32.76D4C550                                                                                                                                                                                   "AslpFileQuery16BitDescription"
76D36DBF push kernel32.76D4C538                                                                                                                                                                                   "File mapping invalid"
76D36DE1 push kernel32.76D4C538                                                                                                                                                                                   "File mapping invalid"
76D36DED push kernel32.76D4C538                                                                                                                                                                                   "File mapping invalid"
76D36DF7 push kernel32.76D4C570                                                                                                                                                                                   "AslpFileQuery16BitModuleName"
76D36E38 push kernel32.76D4B9D8                                                                                                                                                                                   "Exception encountered [%x]"
76D36E42 push kernel32.76D4C570                                                                                                                                                                                   "AslpFileQuery16BitModuleName"
76D36E7F push kernel32.76D4C590                                                                                                                                                                                   "AslpFileGetChecksumAttributes called with a partial view which is not supported"
76D36E89 push kernel32.76D4C5E0                                                                                                                                                                                   "AslpFileGetChecksumAttributes"
76D36EC4 push kernel32.76D4C600                                                                                                                                                                                   "AslFileMappingEnsureMappedAs failed [%x]"
76D36ECE push kernel32.76D4C5E0                                                                                                                                                                                   "AslpFileGetChecksumAttributes"
76D36F11 push kernel32.76D4BCF0                                                                                                                                                                                   "RtlFileMapMapView failed [%x]"
76D36F40 push kernel32.76D4C62C                                                                                                                                                                                   "AslpFileGetChecksum failed [%x]"
76D36F7D push kernel32.76D4C64C                                                                                                                                                                                   "AslpFileGetCrcChecksum failed [%x]"
76D3707B push kernel32.76D4B9D8                                                                                                                                                                                   "Exception encountered [%x]"
76D37085 push kernel32.76D4C670                                                                                                                                                                                   "AslpFileGetChecksum"
76D37127 push kernel32.76D4B9D8                                                                                                                                                                                   "Exception encountered [%x]"
76D37131 push kernel32.76D4C684                                                                                                                                                                                   "AslpFileGetCrcChecksum"
76D3721B push kernel32.76D4B94C                                                                                                                                                                                   "AslFileMappingEnsure failed [%x]"
76D37225 push kernel32.76D4C69C                                                                                                                                                                                   "AslpFileGetClrVersionAttribute"
76D37266 push kernel32.76D4BB54                                                                                                                                                                                   "AslpFileGetFileKindDetailAttribute failed [%x]"
76D372A0 push kernel32.76D4C6BC                                                                                                                                                                                   "AslpFileGetClrVersion failed [%x]"
76D372C7 push kernel32.76D4C36C                                                                                                                                                                                   "AslStringAnsiToUnicode failed [%x]"
76D372E8 push kernel32.76D4BFFC                                                                                                                                                                                   "AslStringXmlSanitize failed [%x]"
76D3737F push kernel32.76D4B990                                                                                                                                                                                   "AslpFileGetImageNtHeader failed [%x]"
76D37389 push kernel32.76D4C6E0                                                                                                                                                                                   "AslpFileGetClrVersion"
76D373FD push kernel32.76D4C6F8                                                                                                                                                                                   "Invalid COM Descriptor virtual address encountered"
76D3740F push kernel32.76D4C6E0                                                                                                                                                                                   "AslpFileGetClrVersion"
76D37444 push kernel32.76D4C72C                                                                                                                                                                                   "Invalid COR20 Metadata virtual address encountered"
76D3745D push kernel32.76D4C760                                                                                                                                                                                   "Invalid COR20 Metadata signature encountered"
76D3748F push kernel32.76D4C790                                                                                                                                                                                   "CLR version string null or too long"
76D374D0 push kernel32.76D4B9D8                                                                                                                                                                                   "Exception encountered [%x]"
76D374DA push kernel32.76D4C6E0                                                                                                                                                                                   "AslpFileGetClrVersion"
76D37516 push kernel32.76D4C7B4                                                                                                                                                                                   "AslFileMappingGetFileKindDetails failed [%x]"
76D37520 push kernel32.76D4C7E4                                                                                                                                                                                   "AslpFileGetFileKindDetailAttribute"
76D3766A push kernel32.76D4C828                                                                                                                                                                                   "AslpFileLargeGetChecksumAttributes failed to get checksum attributes [%x]"
76D37674 push kernel32.76D4C874                                                                                                                                                                                   "AslpFileLargeEnsureLargeFileMapping"
76D3775B push kernel32.76D4A6FC                                                                                                                                                                                   "ZwCreateSection failed [%x]"
76D37765 push kernel32.76D4C898                                                                                                                                                                                   "AslpFileLargeMapCreate"
76D377BE push kernel32.76D4C8B0                                                                                                                                                                                   "ZwMapViewOfSection failed to map the end of the file [%x]"
76D3781F push kernel32.76D4C8EC                                                                                                                                                                                   "ZwMapViewOfSection failed to map the start of the file [%x]"
76D378DF push kernel32.76D4C928                                                                                                                                                                                   "AslpFileLargeGetChecksum failed [%x]"
76D378E9 push kernel32.76D4C950                                                                                                                                                                                   "AslpFileLargeGetChecksumAttributes"
76D37937 push kernel32.76D4C64C                                                                                                                                                                                   "AslpFileGetCrcChecksum failed [%x]"
76D37941 push kernel32.76D4C950                                                                                                                                                                                   "AslpFileLargeGetChecksumAttributes"
76D37A41 push kernel32.76D4B9D8                                                                                                                                                                                   "Exception encountered [%x]"
76D37A4B push kernel32.76D4C974                                                                                                                                                                                   "AslpFileLargeGetChecksum"
76D37B1B push kernel32.76D4C990                                                                                                                                                                                   "FileSize      : %I64u"
76D37B25 mov ebx,kernel32.76D4C9A8                                                                                                                                                                                "AslpFileLargeGetCrcChecksum"
76D37B44 push kernel32.76D4C9C4                                                                                                                                                                                   "CrcFileStart  : %I64u"
76D37B5B push kernel32.76D4C9DC                                                                                                                                                                                   "ViewFileOffset: %I64u"
76D37B72 push kernel32.76D4C9F4                                                                                                                                                                                   "ViewFileSize  : %u"
76D37B89 push kernel32.76D4CA08                                                                                                                                                                                   "CrcViewOffset : %I64u"
76D37B9A push kernel32.76D4CA20                                                                                                                                                                                   "Alignment error in the end of file view for CRC checksum"
76D37C10 push kernel32.76D4B9D8                                                                                                                                                                                   "Exception encountered [%x]"
76D37C1A push kernel32.76D4C9A8                                                                                                                                                                                   "AslpFileLargeGetCrcChecksum"
76D37C83 push kernel32.76D4CA60                                                                                                                                                                                   "AslEnvGetProcessWowInfo failed to determine processor info [%x]"
76D37C8D push kernel32.76D4CAA0                                                                                                                                                                                   "SdbpGetBinaryRuntimePlatform"
76D37CED push kernel32.76D4CA60                                                                                                                                                                                   "AslEnvGetProcessWowInfo failed to determine processor info [%x]"
76D37CF7 push kernel32.76D4CAC0                                                                                                                                                                                   "SdbGuestHostArchsToRuntimePlatformFlag"
76D37D58 push kernel32.76D4CA60                                                                                                                                                                                   "AslEnvGetProcessWowInfo failed to determine processor info [%x]"
76D37D62 push kernel32.76D4CAE8                                                                                                                                                                                   "SdbGuestTargetPlatformFlagsToRuntimePlatformFlags"
76D37E17 push kernel32.76D4CB70                                                                                                                                                                                   "Failed to allocate sdb context"
76D37E21 push kernel32.76D454D0                                                                                                                                                                                   "SdbInitDatabaseEx"
76D37E62 push kernel32.76D4CB34                                                                                                                                                                                   "SdbGetPathSystemSdb failed to get file path for SDB_SYSTEM"
76D37E6C push kernel32.76D4CB1C                                                                                                                                                                                   "SdbpResolveInitSdbPath"
76D37E7D push kernel32.76D4CB90                                                                                                                                                                                   "SdbpResolveInitSdbPath failed to resolve the sdb path [%x]"
76D37E87 push kernel32.76D454D0                                                                                                                                                                                   "SdbInitDatabaseEx"
76D37ED9 push kernel32.76D4CBCC                                                                                                                                                                                   "Unable to open main database %S"
76D37EE3 push kernel32.76D454D0                                                                                                                                                                                   "SdbInitDatabaseEx"
76D380D2 push kernel32.76D4CC04                                                                                                                                                                                   "Bad index 0x%lx"
76D38149 push kernel32.76D4CC48                                                                                                                                                                                   "Database \"%ws\" is not of the same type as the main EXE"
76D38153 push kernel32.76D4CBEC                                                                                                                                                                                   "SdbpOpenLocalDatabaseEx"
76D38172 push kernel32.76D4CC80                                                                                                                                                                                   "Failed to open database"
76D3817C push kernel32.76D4CBEC                                                                                                                                                                                   "SdbpOpenLocalDatabaseEx"
76D38204 push kernel32.76D4CC14                                                                                                                                                                                   "Cannot resolve database, the path length is 0x%lx"
76D3820E push kernel32.76D4CBEC                                                                                                                                                                                   "SdbpOpenLocalDatabaseEx"
76D3826A push kernel32.76D4CC98                                                                                                                                                                                   "Can't convert tag ref"
76D38274 push kernel32.76D4CCB0                                                                                                                                                                                   "SdbGetItemFromItemRef"
76D382D7 push kernel32.76D4CCC8                                                                                                                                                                                   "Can't find DATABASE tag in db"
76D382E1 push kernel32.76D4CCB0                                                                                                                                                                                   "SdbGetItemFromItemRef"
76D3835A push kernel32.76D4CCE8                                                                                                                                                                                   "Can't find DATABASE tag in main db"
76D38364 push kernel32.76D4CCB0                                                                                                                                                                                   "SdbGetItemFromItemRef"
76D38391 push kernel32.76D4CD0C                                                                                                                                                                                   "Can't find LIBRARY tag in main db"
76D38431 push kernel32.76D4CD30                                                                                                                                                                                   "Can't find tag for tag ref 0x%x"
76D3843B push kernel32.76D4CCB0                                                                                                                                                                                   "SdbGetItemFromItemRef"
76D384C5 push kernel32.76D4CE20                                                                                                                                                                                   "Invalid tagid 0x%lx"
76D384CC push kernel32.76D4CE34                                                                                                                                                                                   "SdbFindNextTag"
76D38584 push kernel32.76D4CE44                                                                                                                                                                                   "Can't get the name string"
76D3858E push kernel32.76D4CE60                                                                                                                                                                                   "SdbFindFirstNamedTag"
76D385D0 push kernel32.76D4CC98                                                                                                                                                                                   "Can't convert tag ref"
76D385DA push kernel32.76D4CE78                                                                                                                                                                                   "SdbFindFirstTagRef"
76D38610 push kernel32.76D4CE8C                                                                                                                                                                                   "Can't convert TAGID"
76D38653 push kernel32.76D4CEA0                                                                                                                                                                                   "Can't convert tag ref trParent"
76D3865D push kernel32.76D4CEC0                                                                                                                                                                                   "SdbFindNextTagRef"
76D38686 push kernel32.76D4CED4                                                                                                                                                                                   "Can't convert tag ref trPrev"
76D386B7 push kernel32.76D4CE8C                                                                                                                                                                                   "Can't convert TAGID"
76D38724 push kernel32.76D4CF1C                                                                                                                                                                                   "TagID 0x%X, Tag 0x%X not of the expected type"
76D3872E push kernel32.76D4CF4C                                                                                                                                                                                   "SdbReadWORDTag"
76D3879B push kernel32.76D4CF1C                                                                                                                                                                                   "TagID 0x%X, Tag 0x%X not of the expected type"
76D387A5 push kernel32.76D4CF5C                                                                                                                                                                                   "SdbReadDWORDTag"
76D38819 push kernel32.76D4CF1C                                                                                                                                                                                   "TagID 0x%X, Tag 0x%X not of the expected type"
76D38823 push kernel32.76D4CF6C                                                                                                                                                                                   "SdbReadQWORDTag"
76D38877 push kernel32.76D4CC98                                                                                                                                                                                   "Can't convert tag ref"
76D38881 push kernel32.76D4CF7C                                                                                                                                                                                   "SdbReadWORDTagRef"
76D388C0 mov ebx,kernel32.76D4CF90                                                                                                                                                                                "Error reading size data"
76D3890D push kernel32.76D4CFA8                                                                                                                                                                                   "SdbGetTagDataSize"
76D38947 push kernel32.76D4CFA8                                                                                                                                                                                   "SdbGetTagDataSize"
76D3897D push kernel32.76D4CFBC                                                                                                                                                                                   "Buffer too small. Avail: %d, Need: %d"
76D38987 push kernel32.76D4CFE4                                                                                                                                                                                   "SdbpReadTagData"
76D389AD push kernel32.76D4CEF4                                                                                                                                                                                   "Error reading tag"
76D389B4 push kernel32.76D4CF08                                                                                                                                                                                   "SdbpGetTagHeadSize"
76D389E1 push kernel32.76D4CFF4                                                                                                                                                                                   "Error reading tag data"
76D389EB push kernel32.76D4CFE4                                                                                                                                                                                   "SdbpReadTagData"
76D38A26 push kernel32.76D4CEF4                                                                                                                                                                                   "Error reading tag"
76D38A2D push kernel32.76D4CF08                                                                                                                                                                                   "SdbpGetTagHeadSize"
76D38A53 push kernel32.76D4D4E0                                                                                                                                                                                   "Trying to read mapped data past the end of the database offset 0x%x size 0x%x"
76D38A5D push kernel32.76D4D530                                                                                                                                                                                   "SdbpGetMappedData"
76D38A75 push kernel32.76D4D00C                                                                                                                                                                                   "Error getting ptr to tag data"
76D38A7F push kernel32.76D4D02C                                                                                                                                                                                   "SdbpGetMappedTagData"
76D38ACC push kernel32.76D4D044                                                                                                                                                                                   "TagID 0x%08X, Tag %04X not STRINGREF type"
76D38AD6 push kernel32.76D4D070                                                                                                                                                                                   "SdbpReadStringRef"
76D38AF8 push kernel32.76D4D084                                                                                                                                                                                   "Error reading data"
76D38B02 push kernel32.76D4D070                                                                                                                                                                                   "SdbpReadStringRef"
76D38B2B push kernel32.76D4D0B0                                                                                                                                                                                   "Invalid pdb"
76D38B35 push kernel32.76D4D0BC                                                                                                                                                                                   "SdbGetStringTagPtr"
76D38B81 push kernel32.76D4D098                                                                                                                                                                                   "Error getting StringRef"
76D38BAD push kernel32.76D4D0D0                                                                                                                                                                                   "PDB was not supplied for InitOnceGetStringTableOffset"
76D38BB7 push kernel32.76D4D108                                                                                                                                                                                   "InitOnceGetStringTableOffset"
76D38BD2 push kernel32.76D4D128                                                                                                                                                                                   "No return context was supplied for InitOnceGetStringTableOffset"
76D38BDC push kernel32.76D4D108                                                                                                                                                                                   "InitOnceGetStringTableOffset"
76D38C0C push kernel32.76D4D168                                                                                                                                                                                   "No stringtable in DB"
76D38C16 push kernel32.76D4D108                                                                                                                                                                                   "InitOnceGetStringTableOffset"
76D38C5D push kernel32.76D4D168                                                                                                                                                                                   "No stringtable in DB"
